school_key,מוסד,מועצה,מין,גיוס,לחימה,קצונה,משמעותי,Unnamed: 8,המידע המוצג הינו מתוך מערכת מוסדות וערים שממנה יוצאים כל שנה נתונים אחרי אישור של לשכת רחט,פיקוח,מגזר,מחוז,רשות,ישוב,סוג מוסד,שלב חינוך במוסד,תלמידים_בנים,תלמידים_בנות,תלמידים,קבוצה,תלמידים_יב
340133,מקיף עירוני ק. חיים,חיפה,ז,97.98,42.27,2.44,93.82,,,ממלכתי,יהודי,חיפה,חיפה,חיפה,בית ספר,"חט""ב + עליונה",118.0,129.0,247.0,חילוני - ערי מרכז,118.0
442368,"ישיבת אמי""ת עמיחי",רחובות,ז,92.11,40.0,9.68,85.72,,,ממלכתי דתי,יהודי,מרכז,רחובות,רחובות,בית ספר,"חט""ב + עליונה",74.0,0.0,74.0,דתי לאומי - מרכז,74.0
441139,"תיכון ע""ש גולדה מאיר",פתח תקווה,ז,95.65,49.54,14.29,86.24,,,ממלכתי,יהודי,תל אביב,פתח תקוה,פתח תקווה,בית ספר,"חט""ב + עליונה",169.0,150.0,319.0,חילוני - ערי מרכז,169.0
240036,"מקיף דתי אמי""ת קנדי",עכו,ז,91.18,35.48,3.23,93.53999999999999,,,ממלכתי דתי,יהודי,צפון,עכו,עכו,בית ספר,"חט""ב + עליונה",55.0,38.0,93.0,דתי לאומי - פריפריה,55.0
490052,"עירוני ע""ש בן גוריון",פתח תקווה,ז,92.15,43.75,8.22,85.22,,,ממלכתי,יהודי,תל אביב,פתח תקוה,פתח תקווה,בית ספר,"חט""ב + עליונה",192.0,179.0,371.0,חילוני - ערי מרכז,192.0
441220,אל ארצי,אלון מורה,ז,83.78,92.86,0.0,100.0,,,ממלכתי דתי,יהודי,מרכז,שומרון,אלון מורה,בית ספר,"חט""ב + עליונה",32.0,0.0,32.0,דתי לאומי - התנחלויות,32.0
140160,ישיבת ים לצעירים,ירושלים,ז,52.31,78.79,18.75,100.0,,,ממלכתי דתי,יהודי,ירושלים,ירושלים,ירושלים,ישיבה תיכונית,"חט""ב + עליונה",65.0,0.0,65.0,דתי לאומי - ירושלים,65.0
140731,מקיף גילה,ירושלים,ז,96.49,49.09,4.08,83.64,,,ממלכתי,יהודי,ירושלים,ירושלים,ירושלים,בית ספר,"חט""ב + עליונה",57.0,76.0,133.0,חילוני - ירושלים,57.0
440495,תיכון דתי עתיד,ראש העין,ז,88.24,20.34,1.23,91.53,,,ממלכתי דתי,יהודי,מרכז,ראש העין,ראש העין,בית ספר,"חט""ב + עליונה",74.0,0.0,74.0,דתי לאומי - מרכז,74.0
140137,ישיבת נתיב מאיר,ירושלים,ז,84.42,73.85,13.79,93.83999999999999,,,ממלכתי דתי,יהודי,ירושלים,ירושלים,ירושלים,ישיבה תיכונית,"חט""ב + עליונה",52.0,0.0,52.0,דתי לאומי - ירושלים,52.0
